Number,Pathogen_Target,Latrine_ID,City,Depth,Depth_pathogen_presence,Top_from_same_latrine,Bottom_from_same_latrine,Middle_from_same_latrine,Top_Bot_combined_detections,Top_Mid_combined_detections,Bot_Mid_combined_detections,All_3_depths_detected,Only_2_depths_detected,Only_1_depth_detected,None_no_depths_detected,HH_population,shared_latrine,pit_type,ever_emptied,water_source,toilet_paper,latrine_age_years
8,GIAR_1,4,Mzuzu,Bottom,1,0,1,0,1,0,1,0,0,1,0,5,0,slab,yes,compound,paper,12
9,ROTA_1,4,Mzuzu,Bottom,1,1,1,1,2,2,2,1,0,0,0,5,0,slab,yes,compound,paper,12
10,SALS_1,4,Mzuzu,Bottom,0,0,0,0,0,0,0,0,0,0,1,5,0,slab,yes,compound,paper,12
11,TRTR_1,4,Mzuzu,Bottom,0,0,0,0,0,0,0,0,0,0,1,5,0,slab,yes,compound,paper,12
13,YERS_1,4,Mzuzu,Bottom,0,0,0,0,0,0,0,0,0,0,1,5,0,slab,yes,compound,paper,12
14,CDIF,4,Mzuzu,Bottom,0,0,0,0,0,0,0,0,0,0,1,5,0,slab,yes,compound,paper,12
15,EAEC,4,Mzuzu,Bottom,1,1,1,1,2,2,2,1,0,0,0,5,0,slab,yes,compound,paper,12
16,EPEC,4,Mzuzu,Bottom,1,0,1,0,1,0,1,0,0,1,0,5,0,slab,yes,compound,paper,12
17,ETEC,4,Mzuzu,Bottom,1,1,1,0,2,1,1,0,1,0,0,5,0,slab,yes,compound,paper,12
18,STEC,4,Mzuzu,Bottom,0,1,0,0,1,1,0,0,0,1,0,5,0,slab,yes,compound,paper,12
19,NORO,4,Mzuzu,Bottom,0,1,0,0,1,1,0,0,0,1,0,5,0,slab,yes,compound,paper,12
20,SAPV,4,Mzuzu,Bottom,0,1,0,1,1,2,1,0,1,0,0,5,0,slab,yes,compound,paper,12
21,CAMP,4,Mzuzu,Bottom,0,0,0,1,0,1,1,0,0,1,0,5,0,slab,yes,compound,paper,12
12,VTOX_1,4,Mzuzu,Top,0,0,0,0,0,0,0,0,0,0,1,5,0,slab,yes,compound,paper,12
12,VTOX_1,4,Mzuzu,Middle,0,0,0,0,0,0,0,0,0,0,1,5,0,slab,yes,compound,paper,12
12,VTOX_1,4,Mzuzu,Bottom,0,0,0,0,0,0,0,0,0,0,1,5,0,slab,yes,compound,paper,12
2,AD4X_1,5,Mzuzu,Top,1,1,1,1,2,2,2,1,0,0,0,6,1,slab,no,compound,paper,4
3,ASLU_1,5,Mzuzu,Top,0,0,1,1,1,1,2,0,1,0,0,6,1,slab,no,compound,paper,4
4,ASTR_1,5,Mzuzu,Top,0,0,1,1,1,1,2,0,1,0,0,6,1,slab,no,compound,paper,4
5,CRPA_1,5,Mzuzu,Top,0,0,0,0,0,0,0,0,0,0,1,6,1,slab,no,compound,paper,4
6,EIES_1,5,Mzuzu,Top,1,1,1,1,2,2,2,1,0,0,0,6,1,slab,no,compound,paper,4
7,ENHI_1,5,Mzuzu,Top,0,0,0,0,0,0,0,0,0,0,1,6,1,slab,no,compound,paper,4
8,GIAR_1,5,Mzuzu,Top,1,1,1,1,2,2,2,1,0,0,0,6,1,slab,no,compound,paper,4
9,ROTA_1,5,Mzuzu,Top,0,0,1,1,1,1,2,0,1,0,0,6,1,slab,no,compound,paper,4
10,SALS_1,5,Mzuzu,Top,0,0,0,0,0,0,0,0,0,0,1,6,1,slab,no,compound,paper,4
11,TRTR_1,5,Mzuzu,Top,0,0,0,0,0,0,0,0,0,0,1,6,1,slab,no,compound,paper,4
13,YERS_1,5,Mzuzu,Top,0,0,0,0,0,0,0,0,0,0,1,6,1,slab,no,compound,paper,4
14,CDIF,5,Mzuzu,Top,0,0,0,0,0,0,0,0,0,0,1,6,1,slab,no,compound,paper,4
15,EAEC,5,Mzuzu,Top,1,1,1,1,2,2,2,1,0,0,0,6,1,slab,no,compound,paper,4
16,EPEC,5,Mzuzu,Top,0,0,1,1,1,1,2,0,1,0,0,6,1,slab,no,compound,paper,4
17,ETEC,5,Mzuzu,Top,1,1,1,1,2,2,2,1,0,0,0,6,1,slab,no,compound,paper,4
18,STEC,5,Mzuzu,Top,0,0,0,0,0,0,0,0,0,0,1,6,1,slab,no,compound,paper,4
19,NORO,5,Mzuzu,Top,1,1,1,1,2,2,2,1,0,0,0,6,1,slab,no,compound,paper,4
20,SAPV,5,Mzuzu,Top,0,0,1,1,1,1,2,0,1,0,0,6,1,slab,no,compound,paper,4
21,CAMP,5,Mzuzu,Top,1,1,0,0,1,1,0,0,0,1,0,6,1,slab,no,compound,paper,4
2,AD4X_1,5,Mzuzu,Middle,1,1,1,1,2,2,2,1,0,0,0,6,1,slab,no,compound,paper,4
3,ASLU_1,5,Mzuzu,Middle,1,0,1,1,1,1,2,0,1,0,0,6,1,slab,no,compound,paper,4
4,ASTR_1,5,Mzuzu,Middle,1,0,1,1,1,1,2,0,1,0,0,6,1,slab,no,compound,paper,4
5,CRPA_1,5,Mzuzu,Middle,0,0,0,0,0,0,0,0,0,0,1,6,1,slab,no,compound,paper,4
6,EIES_1,5,Mzuzu,Middle,1,1,1,1,2,2,2,1,0,0,0,6,1,slab,no,compound,paper,4
7,ENHI_1,5,Mzuzu,Middle,0,0,0,0,0,0,0,0,0,0,1,6,1,slab,no,compound,paper,4
8,GIAR_1,5,Mzuzu,Middle,1,1,1,1,2,2,2,1,0,0,0,6,1,slab,no,compound,paper,4
9,ROTA_1,5,Mzuzu,Middle,1,0,1,1,1,1,2,0,1,0,0,6,1,slab,no,compound,paper,4
10,SALS_1,5,Mzuzu,Middle,0,0,0,0,0,0,0,0,0,0,1,6,1,slab,no,compound,paper,4
11,TRTR_1,5,Mzuzu,Middle,0,0,0,0,0,0,0,0,0,0,1,6,1,slab,no,compound,paper,4
13,YERS_1,5,Mzuzu,Middle,0,0,0,0,0,0,0,0,0,0,1,6,1,slab,no,compound,paper,4
14,CDIF,5,Mzuzu,Middle,0,0,0,0,0,0,0,0,0,0,1,6,1,slab,no,compound,paper,4
15,EAEC,5,Mzuzu,Middle,1,1,1,1,2,2,2,1,0,0,0,6,1,slab,no,compound,paper,4
16,EPEC,5,Mzuzu,Middle,1,0,1,1,1,1,2,0,1,0,0,6,1,slab,no,compound,paper,4
17,ETEC,5,Mzuzu,Middle,1,1,1,1,2,2,2,1,0,0,0,6,1,slab,no,compound,paper,4
18,STEC,5,Mzuzu,Middle,0,0,0,0,0,0,0,0,0,0,1,6,1,slab,no,compound,paper,4
19,NORO,5,Mzuzu,Middle,1,1,1,1,2,2,2,1,0,0,0,6,1,slab,no,compound,paper,4
20,SAPV,5,Mzuzu,Middle,1,0,1,1,1,1,2,0,1,0,0,6,1,slab,no,compound,paper,4
21,CAMP,5,Mzuzu,Middle,0,1,0,0,1,1,0,0,0,1,0,6,1,slab,no,compound,paper,4
2,AD4X_1,5,Mzuzu,Bottom,1,1,1,1,2,2,2,1,0,0,0,6,1,slab,no,compound,paper,4
3,ASLU_1,5,Mzuzu,Bottom,1,0,1,1,1,1,2,0,1,0,0,6,1,slab,no,compound,paper,4
4,ASTR_1,5,Mzuzu,Bottom,1,0,1,1,1,1,2,0,1,0,0,6,1,slab,no,compound,paper,4
5,CRPA_1,5,Mzuzu,Bottom,0,0,0,0,0,0,0,0,0,0,1,6,1,slab,no,compound,paper,4
6,EIES_1,5,Mzuzu,Bottom,1,1,1,1,2,2,2,1,0,0,0,6,1,slab,no,compound,paper,4
7,ENHI_1,5,Mzuzu,Bottom,0,0,0,0,0,0,0,0,0,0,1,6,1,slab,no,compound,paper,4
8,GIAR_1,5,Mzuzu,Bottom,1,1,1,1,2,2,2,1,0,0,0,6,1,slab,no,compound,paper,4
9,ROTA_1,5,Mzuzu,Bottom,1,0,1,1,1,1,2,0,1,0,0,6,1,slab,no,compound,paper,4
10,SALS_1,5,Mzuzu,Bottom,0,0,0,0,0,0,0,0,0,0,1,6,1,slab,no,compound,paper,4
11,TRTR_1,5,Mzuzu,Bottom,0,0,0,0,0,0,0,0,0,0,1,6,1,slab,no,compound,paper,4
13,YERS_1,5,Mzuzu,Bottom,0,0,0,0,0,0,0,0,0,0,1,6,1,slab,no,compound,paper,4
14,CDIF,5,Mzuzu,Bottom,0,0,0,0,0,0,0,0,0,0,1,6,1,slab,no,compound,paper,4
15,EAEC,5,Mzuzu,Bottom,1,1,1,1,2,2,2,1,0,0,0,6,1,slab,no,compound,paper,4
16,EPEC,5,Mzuzu,Bottom,1,0,1,1,1,1,2,0,1,0,0,6,1,slab,no,compound,paper,4
17,ETEC,5,Mzuzu,Bottom,1,1,1,1,2,2,2,1,0,0,0,6,1,slab,no,compound,paper,4
18,STEC,5,Mzuzu,Bottom,0,0,0,0,0,0,0,0,0,0,1,6,1,slab,no,compound,paper,4
19,NORO,5,Mzuzu,Bottom,1,1,1,1,2,2,2,1,0,0,0,6,1,slab,no,compound,paper,4
20,SAPV,5,Mzuzu,Bottom,1,0,1,1,1,1,2,0,1,0,0,6,1,slab,no,compound,paper,4
21,CAMP,5,Mzuzu,Bottom,0,1,0,0,1,1,0,0,0,1,0,6,1,slab,no,compound,paper,4
12,VTOX_1,5,Mzuzu,Top,0,0,0,0,0,0,0,0,0,0,1,6,1,slab,no,compound,paper,4
12,VTOX_1,5,Mzuzu,Middle,0,0,0,0,0,0,0,0,0,0,1,6,1,slab,no,compound,paper,4
12,VTOX_1,5,Mzuzu,Bottom,0,0,0,0,0,0,0,0,0,0,1,6,1,slab,no,compound,paper,4
2,AD4X_1,6,Mzuzu,Top,1,1,1,1,2,2,2,1,0,0,0,5,1,slab,yes,compound,Water,15
3,ASLU_1,6,Mzuzu,Top,0,0,1,1,1,1,2,0,1,0,0,5,1,slab,yes,compound,Water,15
4,ASTR_1,6,Mzuzu,Top,1,1,1,1,2,2,2,1,0,0,0,5,1,slab,yes,compound,Water,15
5,CRPA_1,6,Mzuzu,Top,0,0,0,0,0,0,0,0,0,0,1,5,1,slab,yes,compound,Water,15
6,EIES_1,6,Mzuzu,Top,1,1,1,0,2,1,1,0,1,0,0,5,1,slab,yes,compound,Water,15
7,ENHI_1,6,Mzuzu,Top,0,0,0,0,0,0,0,0,0,0,1,5,1,slab,yes,compound,Water,15
8,GIAR_1,6,Mzuzu,Top,1,1,1,1,2,2,2,1,0,0,0,5,1,slab,yes,compound,Water,15
9,ROTA_1,6,Mzuzu,Top,1,1,1,1,2,2,2,1,0,0,0,5,1,slab,yes,compound,Water,15
10,SALS_1,6,Mzuzu,Top,1,1,0,0,1,1,0,0,0,1,0,5,1,slab,yes,compound,Water,15
11,TRTR_1,6,Mzuzu,Top,0,0,0,0,0,0,0,0,0,0,1,5,1,slab,yes,compound,Water,15
13,YERS_1,6,Mzuzu,Top,0,0,0,0,0,0,0,0,0,0,1,5,1,slab,yes,compound,Water,15
14,CDIF,6,Mzuzu,Top,0,0,0,0,0,0,0,0,0,0,1,5,1,slab,yes,compound,Water,15
15,EAEC,6,Mzuzu,Top,1,1,1,1,2,2,2,1,0,0,0,5,1,slab,yes,compound,Water,15
16,EPEC,6,Mzuzu,Top,0,0,0,0,0,0,0,0,0,0,1,5,1,slab,yes,compound,Water,15
17,ETEC,6,Mzuzu,Top,0,0,1,1,1,1,2,0,1,0,0,5,1,slab,yes,compound,Water,15
18,STEC,6,Mzuzu,Top,0,0,0,1,0,1,1,0,0,1,0,5,1,slab,yes,compound,Water,15
19,NORO,6,Mzuzu,Top,1,1,1,1,2,2,2,1,0,0,0,5,1,slab,yes,compound,Water,15
20,SAPV,6,Mzuzu,Top,1,1,1,0,2,1,1,0,1,0,0,5,1,slab,yes,compound,Water,15
21,CAMP,6,Mzuzu,Top,0,0,0,0,0,0,0,0,0,0,1,5,1,slab,yes,compound,Water,15
2,AD4X_1,6,Mzuzu,Middle,1,1,1,1,2,2,2,1,0,0,0,5,1,slab,yes,compound,Water,15
3,ASLU_1,6,Mzuzu,Middle,1,0,1,1,1,1,2,0,1,0,0,5,1,slab,yes,compound,Water,15
4,ASTR_1,6,Mzuzu,Middle,1,1,1,1,2,2,2,1,0,0,0,5,1,slab,yes,compound,Water,15
5,CRPA_1,6,Mzuzu,Middle,0,0,0,0,0,0,0,0,0,0,1,5,1,slab,yes,compound,Water,15
6,EIES_1,6,Mzuzu,Middle,0,1,1,0,2,1,1,0,1,0,0,5,1,slab,yes,compound,Water,15
7,ENHI_1,6,Mzuzu,Middle,0,0,0,0,0,0,0,0,0,0,1,5,1,slab,yes,compound,Water,15
8,GIAR_1,6,Mzuzu,Middle,1,1,1,1,2,2,2,1,0,0,0,5,1,slab,yes,compound,Water,15
9,ROTA_1,6,Mzuzu,Middle,1,1,1,1,2,2,2,1,0,0,0,5,1,slab,yes,compound,Water,15
10,SALS_1,6,Mzuzu,Middle,0,1,0,0,1,1,0,0,0,1,0,5,1,slab,yes,compound,Water,15
11,TRTR_1,6,Mzuzu,Middle,0,0,0,0,0,0,0,0,0,0,1,5,1,slab,yes,compound,Water,15
13,YERS_1,6,Mzuzu,Middle,0,0,0,0,0,0,0,0,0,0,1,5,1,slab,yes,compound,Water,15
14,CDIF,6,Mzuzu,Middle,0,0,0,0,0,0,0,0,0,0,1,5,1,slab,yes,compound,Water,15
15,EAEC,6,Mzuzu,Middle,1,1,1,1,2,2,2,1,0,0,0,5,1,slab,yes,compound,Water,15
16,EPEC,6,Mzuzu,Middle,0,0,0,0,0,0,0,0,0,0,1,5,1,slab,yes,compound,Water,15
17,ETEC,6,Mzuzu,Middle,1,0,1,1,1,1,2,0,1,0,0,5,1,slab,yes,compound,Water,15
18,STEC,6,Mzuzu,Middle,1,0,0,1,0,1,1,0,0,1,0,5,1,slab,yes,compound,Water,15
19,NORO,6,Mzuzu,Middle,1,1,1,1,2,2,2,1,0,0,0,5,1,slab,yes,compound,Water,15
20,SAPV,6,Mzuzu,Middle,0,1,1,0,2,1,1,0,1,0,0,5,1,slab,yes,compound,Water,15
21,CAMP,6,Mzuzu,Middle,0,0,0,0,0,0,0,0,0,0,1,5,1,slab,yes,compound,Water,15
2,AD4X_1,6,Mzuzu,Bottom,1,1,1,1,2,2,2,1,0,0,0,5,1,slab,yes,compound,Water,15
3,ASLU_1,6,Mzuzu,Bottom,1,0,1,1,1,1,2,0,1,0,0,5,1,slab,yes,compound,Water,15
4,ASTR_1,6,Mzuzu,Bottom,1,1,1,1,2,2,2,1,0,0,0,5,1,slab,yes,compound,Water,15
5,CRPA_1,6,Mzuzu,Bottom,0,0,0,0,0,0,0,0,0,0,1,5,1,slab,yes,compound,Water,15
6,EIES_1,6,Mzuzu,Bottom,1,1,1,0,2,1,1,0,1,0,0,5,1,slab,yes,compound,Water,15
7,ENHI_1,6,Mzuzu,Bottom,0,0,0,0,0,0,0,0,0,0,1,5,1,slab,yes,compound,Water,15
8,GIAR_1,6,Mzuzu,Bottom,1,1,1,1,2,2,2,1,0,0,0,5,1,slab,yes,compound,Water,15
9,ROTA_1,6,Mzuzu,Bottom,1,1,1,1,2,2,2,1,0,0,0,5,1,slab,yes,compound,Water,15
10,SALS_1,6,Mzuzu,Bottom,0,1,0,0,1,1,0,0,0,1,0,5,1,slab,yes,compound,Water,15
11,TRTR_1,6,Mzuzu,Bottom,0,0,0,0,0,0,0,0,0,0,1,5,1,slab,yes,compound,Water,15
13,YERS_1,6,Mzuzu,Bottom,0,0,0,0,0,0,0,0,0,0,1,5,1,slab,yes,compound,Water,15
14,CDIF,6,Mzuzu,Bottom,0,0,0,0,0,0,0,0,0,0,1,5,1,slab,yes,compound,Water,15
15,EAEC,6,Mzuzu,Bottom,1,1,1,1,2,2,2,1,0,0,0,5,1,slab,yes,compound,Water,15
16,EPEC,6,Mzuzu,Bottom,0,0,0,0,0,0,0,0,0,0,1,5,1,slab,yes,compound,Water,15
17,ETEC,6,Mzuzu,Bottom,1,0,1,1,1,1,2,0,1,0,0,5,1,slab,yes,compound,Water,15
18,STEC,6,Mzuzu,Bottom,0,0,0,1,0,1,1,0,0,1,0,5,1,slab,yes,compound,Water,15
19,NORO,6,Mzuzu,Bottom,1,1,1,1,2,2,2,1,0,0,0,5,1,slab,yes,compound,Water,15
20,SAPV,6,Mzuzu,Bottom,1,1,1,0,2,1,1,0,1,0,0,5,1,slab,yes,compound,Water,15
21,CAMP,6,Mzuzu,Bottom,0,0,0,0,0,0,0,0,0,0,1,5,1,slab,yes,compound,Water,15
12,VTOX_1,6,Mzuzu,Top,0,0,0,0,0,0,0,0,0,0,1,5,1,slab,yes,compound,Water,15
12,VTOX_1,6,Mzuzu,Middle,0,0,0,0,0,0,0,0,0,0,1,5,1,slab,yes,compound,Water,15
12,VTOX_1,6,Mzuzu,Bottom,0,0,0,0,0,0,0,0,0,0,1,5,1,slab,yes,compound,Water,15
2,AD4X_1,7,Mzuzu,Top,0,0,0,1,0,1,1,0,0,1,0,10,1,slab,no,house,paper,5
3,ASLU_1,7,Mzuzu,Top,1,1,1,1,2,2,2,1,0,0,0,10,1,slab,no,house,paper,5
4,ASTR_1,7,Mzuzu,Top,0,0,1,0,1,0,1,0,0,1,0,10,1,slab,no,house,paper,5
5,CRPA_1,7,Mzuzu,Top,0,0,1,0,1,0,1,0,0,1,0,10,1,slab,no,house,paper,5
6,EIES_1,7,Mzuzu,Top,1,1,1,0,2,1,1,0,1,0,0,10,1,slab,no,house,paper,5
7,ENHI_1,7,Mzuzu,Top,0,0,0,0,0,0,0,0,0,0,1,10,1,slab,no,house,paper,5
8,GIAR_1,7,Mzuzu,Top,1,1,1,1,2,2,2,1,0,0,0,10,1,slab,no,house,paper,5
9,ROTA_1,7,Mzuzu,Top,0,0,0,0,0,0,0,0,0,0,1,10,1,slab,no,house,paper,5
10,SALS_1,7,Mzuzu,Top,0,0,0,0,0,0,0,0,0,0,1,10,1,slab,no,house,paper,5
11,TRTR_1,7,Mzuzu,Top,0,0,0,0,0,0,0,0,0,0,1,10,1,slab,no,house,paper,5
13,YERS_1,7,Mzuzu,Top,0,0,0,0,0,0,0,0,0,0,1,10,1,slab,no,house,paper,5
14,CDIF,7,Mzuzu,Top,0,0,0,0,0,0,0,0,0,0,1,10,1,slab,no,house,paper,5
15,EAEC,7,Mzuzu,Top,1,1,1,1,2,2,2,1,0,0,0,10,1,slab,no,house,paper,5
16,EPEC,7,Mzuzu,Top,0,0,0,0,0,0,0,0,0,0,1,10,1,slab,no,house,paper,5
17,ETEC,7,Mzuzu,Top,1,1,1,1,2,2,2,1,0,0,0,10,1,slab,no,house,paper,5
18,STEC,7,Mzuzu,Top,0,0,0,0,0,0,0,0,0,0,1,10,1,slab,no,house,paper,5
19,NORO,7,Mzuzu,Top,1,1,1,1,2,2,2,1,0,0,0,10,1,slab,no,house,paper,5
20,SAPV,7,Mzuzu,Top,1,1,1,1,2,2,2,1,0,0,0,10,1,slab,no,house,paper,5
21,CAMP,7,Mzuzu,Top,1,1,0,0,1,1,0,0,0,1,0,10,1,slab,no,house,paper,5
2,AD4X_1,7,Mzuzu,Middle,1,0,0,1,0,1,1,0,0,1,0,10,1,slab,no,house,paper,5
3,ASLU_1,7,Mzuzu,Middle,1,1,1,1,2,2,2,1,0,0,0,10,1,slab,no,house,paper,5
4,ASTR_1,7,Mzuzu,Middle,0,0,1,0,1,0,1,0,0,1,0,10,1,slab,no,house,paper,5
5,CRPA_1,7,Mzuzu,Middle,0,0,1,0,1,0,1,0,0,1,0,10,1,slab,no,house,paper,5
6,EIES_1,7,Mzuzu,Middle,0,1,1,0,2,1,1,0,1,0,0,10,1,slab,no,house,paper,5
7,ENHI_1,7,Mzuzu,Middle,0,0,0,0,0,0,0,0,0,0,1,10,1,slab,no,house,paper,5
8,GIAR_1,7,Mzuzu,Middle,1,1,1,1,2,2,2,1,0,0,0,10,1,slab,no,house,paper,5
9,ROTA_1,7,Mzuzu,Middle,0,0,0,0,0,0,0,0,0,0,1,10,1,slab,no,house,paper,5
10,SALS_1,7,Mzuzu,Middle,0,0,0,0,0,0,0,0,0,0,1,10,1,slab,no,house,paper,5
11,TRTR_1,7,Mzuzu,Middle,0,0,0,0,0,0,0,0,0,0,1,10,1,slab,no,house,paper,5
13,YERS_1,7,Mzuzu,Middle,0,0,0,0,0,0,0,0,0,0,1,10,1,slab,no,house,paper,5
14,CDIF,7,Mzuzu,Middle,0,0,0,0,0,0,0,0,0,0,1,10,1,slab,no,house,paper,5
15,EAEC,7,Mzuzu,Middle,1,1,1,1,2,2,2,1,0,0,0,10,1,slab,no,house,paper,5
16,EPEC,7,Mzuzu,Middle,0,0,0,0,0,0,0,0,0,0,1,10,1,slab,no,house,paper,5
17,ETEC,7,Mzuzu,Middle,1,1,1,1,2,2,2,1,0,0,0,10,1,slab,no,house,paper,5
18,STEC,7,Mzuzu,Middle,0,0,0,0,0,0,0,0,0,0,1,10,1,slab,no,house,paper,5
19,NORO,7,Mzuzu,Middle,1,1,1,1,2,2,2,1,0,0,0,10,1,slab,no,house,paper,5
20,SAPV,7,Mzuzu,Middle,1,1,1,1,2,2,2,1,0,0,0,10,1,slab,no,house,paper,5
21,CAMP,7,Mzuzu,Middle,0,1,0,0,1,1,0,0,0,1,0,10,1,slab,no,house,paper,5
2,AD4X_1,7,Mzuzu,Bottom,0,0,0,1,0,1,1,0,0,1,0,10,1,slab,no,house,paper,5
3,ASLU_1,7,Mzuzu,Bottom,1,1,1,1,2,2,2,1,0,0,0,10,1,slab,no,house,paper,5
4,ASTR_1,7,Mzuzu,Bottom,1,0,1,0,1,0,1,0,0,1,0,10,1,slab,no,house,paper,5
5,CRPA_1,7,Mzuzu,Bottom,1,0,1,0,1,0,1,0,0,1,0,10,1,slab,no,house,paper,5
6,EIES_1,7,Mzuzu,Bottom,1,1,1,0,2,1,1,0,1,0,0,10,1,slab,no,house,paper,5
7,ENHI_1,7,Mzuzu,Bottom,0,0,0,0,0,0,0,0,0,0,1,10,1,slab,no,house,paper,5
8,GIAR_1,7,Mzuzu,Bottom,1,1,1,1,2,2,2,1,0,0,0,10,1,slab,no,house,paper,5
9,ROTA_1,7,Mzuzu,Bottom,0,0,0,0,0,0,0,0,0,0,1,10,1,slab,no,house,paper,5
10,SALS_1,7,Mzuzu,Bottom,0,0,0,0,0,0,0,0,0,0,1,10,1,slab,no,house,paper,5
11,TRTR_1,7,Mzuzu,Bottom,0,0,0,0,0,0,0,0,0,0,1,10,1,slab,no,house,paper,5
13,YERS_1,7,Mzuzu,Bottom,0,0,0,0,0,0,0,0,0,0,1,10,1,slab,no,house,paper,5
14,CDIF,7,Mzuzu,Bottom,0,0,0,0,0,0,0,0,0,0,1,10,1,slab,no,house,paper,5
15,EAEC,7,Mzuzu,Bottom,1,1,1,1,2,2,2,1,0,0,0,10,1,slab,no,house,paper,5
16,EPEC,7,Mzuzu,Bottom,0,0,0,0,0,0,0,0,0,0,1,10,1,slab,no,house,paper,5
17,ETEC,7,Mzuzu,Bottom,1,1,1,1,2,2,2,1,0,0,0,10,1,slab,no,house,paper,5
18,STEC,7,Mzuzu,Bottom,0,0,0,0,0,0,0,0,0,0,1,10,1,slab,no,house,paper,5
19,NORO,7,Mzuzu,Bottom,1,1,1,1,2,2,2,1,0,0,0,10,1,slab,no,house,paper,5
20,SAPV,7,Mzuzu,Bottom,1,1,1,1,2,2,2,1,0,0,0,10,1,slab,no,house,paper,5
21,CAMP,7,Mzuzu,Bottom,0,1,0,0,1,1,0,0,0,1,0,10,1,slab,no,house,paper,5
12,VTOX_1,7,Mzuzu,Top,0,0,0,0,0,0,0,0,0,0,1,10,1,slab,no,house,paper,5
12,VTOX_1,7,Mzuzu,Middle,0,0,0,0,0,0,0,0,0,0,1,10,1,slab,no,house,paper,5
12,VTOX_1,7,Mzuzu,Bottom,0,0,0,0,0,0,0,0,0,0,1,10,1,slab,no,house,paper,5
2,AD4X_1,8,Mzuzu,Top,1,1,0,0,1,1,0,0,0,1,0,13,1,slab,no,house,Water,4
3,ASLU_1,8,Mzuzu,Top,1,1,1,1,2,2,2,1,0,0,0,13,1,slab,no,house,Water,4
4,ASTR_1,8,Mzuzu,Top,1,1,1,1,2,2,2,1,0,0,0,13,1,slab,no,house,Water,4
5,CRPA_1,8,Mzuzu,Top,0,0,1,0,1,0,1,0,0,1,0,13,1,slab,no,house,Water,4
6,EIES_1,8,Mzuzu,Top,1,1,1,1,2,2,2,1,0,0,0,13,1,slab,no,house,Water,4
7,ENHI_1,8,Mzuzu,Top,0,0,0,0,0,0,0,0,0,0,1,13,1,slab,no,house,Water,4
8,GIAR_1,8,Mzuzu,Top,1,1,1,1,2,2,2,1,0,0,0,13,1,slab,no,house,Water,4
9,ROTA_1,8,Mzuzu,Top,1,1,0,0,1,1,0,0,0,1,0,13,1,slab,no,house,Water,4
10,SALS_1,8,Mzuzu,Top,0,0,0,0,0,0,0,0,0,0,1,13,1,slab,no,house,Water,4
11,TRTR_1,8,Mzuzu,Top,0,0,0,0,0,0,0,0,0,0,1,13,1,slab,no,house,Water,4
13,YERS_1,8,Mzuzu,Top,0,0,0,0,0,0,0,0,0,0,1,13,1,slab,no,house,Water,4
14,CDIF,8,Mzuzu,Top,0,0,0,0,0,0,0,0,0,0,1,13,1,slab,no,house,Water,4
15,EAEC,8,Mzuzu,Top,1,1,1,1,2,2,2,1,0,0,0,13,1,slab,no,house,Water,4
16,EPEC,8,Mzuzu,Top,1,1,1,1,2,2,2,1,0,0,0,13,1,slab,no,house,Water,4
17,ETEC,8,Mzuzu,Top,1,1,1,1,2,2,2,1,0,0,0,13,1,slab,no,house,Water,4
18,STEC,8,Mzuzu,Top,0,0,0,0,0,0,0,0,0,0,1,13,1,slab,no,house,Water,4
19,NORO,8,Mzuzu,Top,1,1,1,1,2,2,2,1,0,0,0,13,1,slab,no,house,Water,4
20,SAPV,8,Mzuzu,Top,1,1,1,1,2,2,2,1,0,0,0,13,1,slab,no,house,Water,4
21,CAMP,8,Mzuzu,Top,0,0,0,0,0,0,0,0,0,0,1,13,1,slab,no,house,Water,4
2,AD4X_1,8,Mzuzu,Middle,0,1,0,0,1,1,0,0,0,1,0,13,1,slab,no,house,Water,4
3,ASLU_1,8,Mzuzu,Middle,1,1,1,1,2,2,2,1,0,0,0,13,1,slab,no,house,Water,4
4,ASTR_1,8,Mzuzu,Middle,1,1,1,1,2,2,2,1,0,0,0,13,1,slab,no,house,Water,4
5,CRPA_1,8,Mzuzu,Middle,0,0,1,0,1,0,1,0,0,1,0,13,1,slab,no,house,Water,4
6,EIES_1,8,Mzuzu,Middle,1,1,1,1,2,2,2,1,0,0,0,13,1,slab,no,house,Water,4
7,ENHI_1,8,Mzuzu,Middle,0,0,0,0,0,0,0,0,0,0,1,13,1,slab,no,house,Water,4
8,GIAR_1,8,Mzuzu,Middle,1,1,1,1,2,2,2,1,0,0,0,13,1,slab,no,house,Water,4
9,ROTA_1,8,Mzuzu,Middle,0,1,0,0,1,1,0,0,0,1,0,13,1,slab,no,house,Water,4
10,SALS_1,8,Mzuzu,Middle,0,0,0,0,0,0,0,0,0,0,1,13,1,slab,no,house,Water,4
11,TRTR_1,8,Mzuzu,Middle,0,0,0,0,0,0,0,0,0,0,1,13,1,slab,no,house,Water,4
13,YERS_1,8,Mzuzu,Middle,0,0,0,0,0,0,0,0,0,0,1,13,1,slab,no,house,Water,4
14,CDIF,8,Mzuzu,Middle,0,0,0,0,0,0,0,0,0,0,1,13,1,slab,no,house,Water,4
15,EAEC,8,Mzuzu,Middle,1,1,1,1,2,2,2,1,0,0,0,13,1,slab,no,house,Water,4
16,EPEC,8,Mzuzu,Middle,1,1,1,1,2,2,2,1,0,0,0,13,1,slab,no,house,Water,4
17,ETEC,8,Mzuzu,Middle,1,1,1,1,2,2,2,1,0,0,0,13,1,slab,no,house,Water,4
