Number,Pathogen_Target,Latrine_ID,City,Depth,Depth_pathogen_presence,Top_from_same_latrine,Bottom_from_same_latrine,Middle_from_same_latrine,Top_Bot_combined_detections,Top_Mid_combined_detections,Bot_Mid_combined_detections,All_3_depths_detected,Only_2_depths_detected,Only_1_depth_detected,None_no_depths_detected,HH_population,shared_latrine,pit_type,ever_emptied,water_source,toilet_paper,latrine_age_years
7,ENHI_1,1,Blantyre,Bottom,0,0,0,0,0,0,0,0,0,0,1,7,1,slab,yes,public,paper,5
8,GIAR_1,1,Blantyre,Bottom,1,1,1,1,2,2,2,1,0,0,0,7,1,slab,yes,public,paper,5
9,ROTA_1,1,Blantyre,Bottom,1,0,1,1,1,1,2,0,1,0,0,7,1,slab,yes,public,paper,5
10,SALS_1,1,Blantyre,Bottom,0,0,0,0,0,0,0,0,0,0,1,7,1,slab,yes,public,paper,5
11,TRTR_1,1,Blantyre,Bottom,0,0,0,0,0,0,0,0,0,0,1,7,1,slab,yes,public,paper,5
13,YERS_1,1,Blantyre,Bottom,0,0,0,1,0,1,1,0,0,1,0,7,1,slab,yes,public,paper,5
14,CDIF,1,Blantyre,Bottom,0,0,0,0,0,0,0,0,0,0,1,7,1,slab,yes,public,paper,5
15,EAEC,1,Blantyre,Bottom,1,1,1,1,2,2,2,1,0,0,0,7,1,slab,yes,public,paper,5
16,EPEC,1,Blantyre,Bottom,1,1,1,1,2,2,2,1,0,0,0,7,1,slab,yes,public,paper,5
17,ETEC,1,Blantyre,Bottom,1,1,1,1,2,2,2,1,0,0,0,7,1,slab,yes,public,paper,5
18,STEC,1,Blantyre,Bottom,0,1,0,0,1,1,0,0,0,1,0,7,1,slab,yes,public,paper,5
19,NORO,1,Blantyre,Bottom,1,1,1,1,2,2,2,1,0,0,0,7,1,slab,yes,public,paper,5
20,SAPV,1,Blantyre,Bottom,1,1,1,1,2,2,2,1,0,0,0,7,1,slab,yes,public,paper,5
21,CAMP,1,Blantyre,Bottom,0,0,0,0,0,0,0,0,0,0,1,7,1,slab,yes,public,paper,5
12,VTOX_1,1,Blantyre,Middle,0,0,0,0,0,0,0,0,0,0,1,7,1,slab,yes,public,paper,5
12,VTOX_1,1,Blantyre,Bottom,0,0,0,0,0,0,0,0,0,0,1,7,1,slab,yes,public,paper,5
2,AD4X_1,2,Blantyre,Top,1,1,1,1,2,2,2,1,0,0,0,4,1,slab,yes,public,paper,1
3,ASLU_1,2,Blantyre,Top,0,0,1,0,1,0,1,0,0,1,0,4,1,slab,yes,public,paper,1
4,ASTR_1,2,Blantyre,Top,1,1,1,1,2,2,2,1,0,0,0,4,1,slab,yes,public,paper,1
5,CRPA_1,2,Blantyre,Top,0,0,0,0,0,0,0,0,0,0,1,4,1,slab,yes,public,paper,1
6,EIES_1,2,Blantyre,Top,0,0,1,0,1,0,1,0,0,1,0,4,1,slab,yes,public,paper,1
7,ENHI_1,2,Blantyre,Top,0,0,0,0,0,0,0,0,0,0,1,4,1,slab,yes,public,paper,1
8,GIAR_1,2,Blantyre,Top,0,0,1,1,1,1,2,0,1,0,0,4,1,slab,yes,public,paper,1
9,ROTA_1,2,Blantyre,Top,1,1,1,1,2,2,2,1,0,0,0,4,1,slab,yes,public,paper,1
10,SALS_1,2,Blantyre,Top,0,0,0,0,0,0,0,0,0,0,1,4,1,slab,yes,public,paper,1
11,TRTR_1,2,Blantyre,Top,0,0,0,0,0,0,0,0,0,0,1,4,1,slab,yes,public,paper,1
13,YERS_1,2,Blantyre,Top,0,0,0,0,0,0,0,0,0,0,1,4,1,slab,yes,public,paper,1
14,CDIF,2,Blantyre,Top,0,0,0,0,0,0,0,0,0,0,1,4,1,slab,yes,public,paper,1
15,EAEC,2,Blantyre,Top,1,1,1,1,2,2,2,1,0,0,0,4,1,slab,yes,public,paper,1
16,EPEC,2,Blantyre,Top,0,0,0,0,0,0,0,0,0,0,1,4,1,slab,yes,public,paper,1
17,ETEC,2,Blantyre,Top,1,1,1,1,2,2,2,1,0,0,0,4,1,slab,yes,public,paper,1
18,STEC,2,Blantyre,Top,0,0,0,0,0,0,0,0,0,0,1,4,1,slab,yes,public,paper,1
19,NORO,2,Blantyre,Top,1,1,1,1,2,2,2,1,0,0,0,4,1,slab,yes,public,paper,1
20,SAPV,2,Blantyre,Top,1,1,1,1,2,2,2,1,0,0,0,4,1,slab,yes,public,paper,1
21,CAMP,2,Blantyre,Top,0,0,0,0,0,0,0,0,0,0,1,4,1,slab,yes,public,paper,1
2,AD4X_1,2,Blantyre,Middle,1,1,1,1,2,2,2,1,0,0,0,4,1,slab,yes,public,paper,1
3,ASLU_1,2,Blantyre,Middle,0,0,1,0,1,0,1,0,0,1,0,4,1,slab,yes,public,paper,1
4,ASTR_1,2,Blantyre,Middle,1,1,1,1,2,2,2,1,0,0,0,4,1,slab,yes,public,paper,1
5,CRPA_1,2,Blantyre,Middle,0,0,0,0,0,0,0,0,0,0,1,4,1,slab,yes,public,paper,1
6,EIES_1,2,Blantyre,Middle,0,0,1,0,1,0,1,0,0,1,0,4,1,slab,yes,public,paper,1
7,ENHI_1,2,Blantyre,Middle,0,0,0,0,0,0,0,0,0,0,1,4,1,slab,yes,public,paper,1
8,GIAR_1,2,Blantyre,Middle,1,0,1,1,1,1,2,0,1,0,0,4,1,slab,yes,public,paper,1
9,ROTA_1,2,Blantyre,Middle,1,1,1,1,2,2,2,1,0,0,0,4,1,slab,yes,public,paper,1
10,SALS_1,2,Blantyre,Middle,0,0,0,0,0,0,0,0,0,0,1,4,1,slab,yes,public,paper,1
11,TRTR_1,2,Blantyre,Middle,0,0,0,0,0,0,0,0,0,0,1,4,1,slab,yes,public,paper,1
13,YERS_1,2,Blantyre,Middle,0,0,0,0,0,0,0,0,0,0,1,4,1,slab,yes,public,paper,1
14,CDIF,2,Blantyre,Middle,0,0,0,0,0,0,0,0,0,0,1,4,1,slab,yes,public,paper,1
15,EAEC,2,Blantyre,Middle,1,1,1,1,2,2,2,1,0,0,0,4,1,slab,yes,public,paper,1
16,EPEC,2,Blantyre,Middle,0,0,0,0,0,0,0,0,0,0,1,4,1,slab,yes,public,paper,1
17,ETEC,2,Blantyre,Middle,1,1,1,1,2,2,2,1,0,0,0,4,1,slab,yes,public,paper,1
18,STEC,2,Blantyre,Middle,0,0,0,0,0,0,0,0,0,0,1,4,1,slab,yes,public,paper,1
19,NORO,2,Blantyre,Middle,1,1,1,1,2,2,2,1,0,0,0,4,1,slab,yes,public,paper,1
20,SAPV,2,Blantyre,Middle,1,1,1,1,2,2,2,1,0,0,0,4,1,slab,yes,public,paper,1
21,CAMP,2,Blantyre,Middle,0,0,0,0,0,0,0,0,0,0,1,4,1,slab,yes,public,paper,1
2,AD4X_1,2,Blantyre,Bottom,1,1,1,1,2,2,2,1,0,0,0,4,1,slab,yes,public,paper,1
3,ASLU_1,2,Blantyre,Bottom,1,0,1,0,1,0,1,0,0,1,0,4,1,slab,yes,public,paper,1
4,ASTR_1,2,Blantyre,Bottom,1,1,1,1,2,2,2,1,0,0,0,4,1,slab,yes,public,paper,1
5,CRPA_1,2,Blantyre,Bottom,0,0,0,0,0,0,0,0,0,0,1,4,1,slab,yes,public,paper,1
6,EIES_1,2,Blantyre,Bottom,1,0,1,0,1,0,1,0,0,1,0,4,1,slab,yes,public,paper,1
7,ENHI_1,2,Blantyre,Bottom,0,0,0,0,0,0,0,0,0,0,1,4,1,slab,yes,public,paper,1
8,GIAR_1,2,Blantyre,Bottom,1,0,1,1,1,1,2,0,1,0,0,4,1,slab,yes,public,paper,1
9,ROTA_1,2,Blantyre,Bottom,1,1,1,1,2,2,2,1,0,0,0,4,1,slab,yes,public,paper,1
10,SALS_1,2,Blantyre,Bottom,0,0,0,0,0,0,0,0,0,0,1,4,1,slab,yes,public,paper,1
11,TRTR_1,2,Blantyre,Bottom,0,0,0,0,0,0,0,0,0,0,1,4,1,slab,yes,public,paper,1
13,YERS_1,2,Blantyre,Bottom,0,0,0,0,0,0,0,0,0,0,1,4,1,slab,yes,public,paper,1
14,CDIF,2,Blantyre,Bottom,0,0,0,0,0,0,0,0,0,0,1,4,1,slab,yes,public,paper,1
15,EAEC,2,Blantyre,Bottom,1,1,1,1,2,2,2,1,0,0,0,4,1,slab,yes,public,paper,1
16,EPEC,2,Blantyre,Bottom,0,0,0,0,0,0,0,0,0,0,1,4,1,slab,yes,public,paper,1
17,ETEC,2,Blantyre,Bottom,1,1,1,1,2,2,2,1,0,0,0,4,1,slab,yes,public,paper,1
18,STEC,2,Blantyre,Bottom,0,0,0,0,0,0,0,0,0,0,1,4,1,slab,yes,public,paper,1
19,NORO,2,Blantyre,Bottom,1,1,1,1,2,2,2,1,0,0,0,4,1,slab,yes,public,paper,1
20,SAPV,2,Blantyre,Bottom,1,1,1,1,2,2,2,1,0,0,0,4,1,slab,yes,public,paper,1
21,CAMP,2,Blantyre,Bottom,0,0,0,0,0,0,0,0,0,0,1,4,1,slab,yes,public,paper,1
12,VTOX_1,2,Mzuzu,Top,0,0,0,0,0,0,0,0,0,0,1,4,1,slab,yes,public,paper,1
12,VTOX_1,2,Mzuzu,Middle,0,0,0,0,0,0,0,0,0,0,1,4,1,slab,yes,public,paper,1
12,VTOX_1,2,Mzuzu,Bottom,0,0,0,0,0,0,0,0,0,0,1,4,1,slab,yes,public,paper,1
2,AD4X_1,3,Blantyre,Top,1,1,1,0,2,1,1,0,1,0,0,5,1,noslab,yes,public,paper,3
3,ASLU_1,3,Blantyre,Top,1,1,0,1,1,2,1,0,1,0,0,5,1,noslab,yes,public,paper,3
4,ASTR_1,3,Blantyre,Top,1,1,1,1,2,2,2,1,0,0,0,5,1,noslab,yes,public,paper,3
5,CRPA_1,3,Blantyre,Top,1,1,0,1,1,2,1,0,1,0,0,5,1,noslab,yes,public,paper,3
6,EIES_1,3,Blantyre,Top,1,1,1,1,2,2,2,1,0,0,0,5,1,noslab,yes,public,paper,3
7,ENHI_1,3,Blantyre,Top,0,0,0,0,0,0,0,0,0,0,1,5,1,noslab,yes,public,paper,3
8,GIAR_1,3,Blantyre,Top,1,1,1,1,2,2,2,1,0,0,0,5,1,noslab,yes,public,paper,3
9,ROTA_1,3,Blantyre,Top,0,0,1,1,1,1,2,0,1,0,0,5,1,noslab,yes,public,paper,3
10,SALS_1,3,Blantyre,Top,0,0,0,0,0,0,0,0,0,0,1,5,1,noslab,yes,public,paper,3
11,TRTR_1,3,Blantyre,Top,0,0,0,0,0,0,0,0,0,0,1,5,1,noslab,yes,public,paper,3
13,YERS_1,3,Blantyre,Top,0,0,0,0,0,0,0,0,0,0,1,5,1,noslab,yes,public,paper,3
14,CDIF,3,Blantyre,Top,0,0,0,0,0,0,0,0,0,0,1,5,1,noslab,yes,public,paper,3
15,EAEC,3,Blantyre,Top,1,1,0,0,1,1,0,0,0,1,0,5,1,noslab,yes,public,paper,3
16,EPEC,3,Blantyre,Top,1,1,0,0,1,1,0,0,0,1,0,5,1,noslab,yes,public,paper,3
17,ETEC,3,Blantyre,Top,1,1,0,1,1,2,1,0,1,0,0,5,1,noslab,yes,public,paper,3
18,STEC,3,Blantyre,Top,0,0,0,0,0,0,0,0,0,0,1,5,1,noslab,yes,public,paper,3
19,NORO,3,Blantyre,Top,1,1,1,1,2,2,2,1,0,0,0,5,1,noslab,yes,public,paper,3
20,SAPV,3,Blantyre,Top,1,1,1,1,2,2,2,1,0,0,0,5,1,noslab,yes,public,paper,3
21,CAMP,3,Blantyre,Top,0,0,0,0,0,0,0,0,0,0,1,5,1,noslab,yes,public,paper,3
2,AD4X_1,3,Blantyre,Middle,0,1,1,0,2,1,1,0,1,0,0,5,1,noslab,yes,public,paper,3
3,ASLU_1,3,Blantyre,Middle,1,1,0,1,1,2,1,0,1,0,0,5,1,noslab,yes,public,paper,3
4,ASTR_1,3,Blantyre,Middle,1,1,1,1,2,2,2,1,0,0,0,5,1,noslab,yes,public,paper,3
5,CRPA_1,3,Blantyre,Middle,1,1,0,1,1,2,1,0,1,0,0,5,1,noslab,yes,public,paper,3
6,EIES_1,3,Blantyre,Middle,1,1,1,1,2,2,2,1,0,0,0,5,1,noslab,yes,public,paper,3
7,ENHI_1,3,Blantyre,Middle,0,0,0,0,0,0,0,0,0,0,1,5,1,noslab,yes,public,paper,3
8,GIAR_1,3,Blantyre,Middle,1,1,1,1,2,2,2,1,0,0,0,5,1,noslab,yes,public,paper,3
9,ROTA_1,3,Blantyre,Middle,1,0,1,1,1,1,2,0,1,0,0,5,1,noslab,yes,public,paper,3
10,SALS_1,3,Blantyre,Middle,0,0,0,0,0,0,0,0,0,0,1,5,1,noslab,yes,public,paper,3
11,TRTR_1,3,Blantyre,Middle,0,0,0,0,0,0,0,0,0,0,1,5,1,noslab,yes,public,paper,3
13,YERS_1,3,Blantyre,Middle,0,0,0,0,0,0,0,0,0,0,1,5,1,noslab,yes,public,paper,3
14,CDIF,3,Blantyre,Middle,0,0,0,0,0,0,0,0,0,0,1,5,1,noslab,yes,public,paper,3
15,EAEC,3,Blantyre,Middle,0,1,0,0,1,1,0,0,0,1,0,5,1,noslab,yes,public,paper,3
16,EPEC,3,Blantyre,Middle,0,1,0,0,1,1,0,0,0,1,0,5,1,noslab,yes,public,paper,3
17,ETEC,3,Blantyre,Middle,1,1,0,1,1,2,1,0,1,0,0,5,1,noslab,yes,public,paper,3
18,STEC,3,Blantyre,Middle,0,0,0,0,0,0,0,0,0,0,1,5,1,noslab,yes,public,paper,3
19,NORO,3,Blantyre,Middle,1,1,1,1,2,2,2,1,0,0,0,5,1,noslab,yes,public,paper,3
20,SAPV,3,Blantyre,Middle,1,1,1,1,2,2,2,1,0,0,0,5,1,noslab,yes,public,paper,3
21,CAMP,3,Blantyre,Middle,0,0,0,0,0,0,0,0,0,0,1,5,1,noslab,yes,public,paper,3
2,AD4X_1,3,Blantyre,Bottom,1,1,1,0,2,1,1,0,1,0,0,5,1,noslab,yes,public,paper,3
3,ASLU_1,3,Blantyre,Bottom,0,1,0,1,1,2,1,0,1,0,0,5,1,noslab,yes,public,paper,3
4,ASTR_1,3,Blantyre,Bottom,1,1,1,1,2,2,2,1,0,0,0,5,1,noslab,yes,public,paper,3
5,CRPA_1,3,Blantyre,Bottom,0,1,0,1,1,2,1,0,1,0,0,5,1,noslab,yes,public,paper,3
6,EIES_1,3,Blantyre,Bottom,1,1,1,1,2,2,2,1,0,0,0,5,1,noslab,yes,public,paper,3
7,ENHI_1,3,Blantyre,Bottom,0,0,0,0,0,0,0,0,0,0,1,5,1,noslab,yes,public,paper,3
8,GIAR_1,3,Blantyre,Bottom,1,1,1,1,2,2,2,1,0,0,0,5,1,noslab,yes,public,paper,3
9,ROTA_1,3,Blantyre,Bottom,1,0,1,1,1,1,2,0,1,0,0,5,1,noslab,yes,public,paper,3
10,SALS_1,3,Blantyre,Bottom,0,0,0,0,0,0,0,0,0,0,1,5,1,noslab,yes,public,paper,3
11,TRTR_1,3,Blantyre,Bottom,0,0,0,0,0,0,0,0,0,0,1,5,1,noslab,yes,public,paper,3
13,YERS_1,3,Blantyre,Bottom,0,0,0,0,0,0,0,0,0,0,1,5,1,noslab,yes,public,paper,3
14,CDIF,3,Blantyre,Bottom,0,0,0,0,0,0,0,0,0,0,1,5,1,noslab,yes,public,paper,3
15,EAEC,3,Blantyre,Bottom,0,1,0,0,1,1,0,0,0,1,0,5,1,noslab,yes,public,paper,3
16,EPEC,3,Blantyre,Bottom,0,1,0,0,1,1,0,0,0,1,0,5,1,noslab,yes,public,paper,3
17,ETEC,3,Blantyre,Bottom,0,1,0,1,1,2,1,0,1,0,0,5,1,noslab,yes,public,paper,3
18,STEC,3,Blantyre,Bottom,0,0,0,0,0,0,0,0,0,0,1,5,1,noslab,yes,public,paper,3
19,NORO,3,Blantyre,Bottom,1,1,1,1,2,2,2,1,0,0,0,5,1,noslab,yes,public,paper,3
20,SAPV,3,Blantyre,Bottom,1,1,1,1,2,2,2,1,0,0,0,5,1,noslab,yes,public,paper,3
21,CAMP,3,Blantyre,Bottom,0,0,0,0,0,0,0,0,0,0,1,5,1,noslab,yes,public,paper,3
12,VTOX_1,3,Mzuzu,Top,0,0,0,0,0,0,0,0,0,0,1,5,1,noslab,yes,public,paper,3
12,VTOX_1,3,Mzuzu,Middle,0,0,0,0,0,0,0,0,0,0,1,5,1,noslab,yes,public,paper,3
12,VTOX_1,3,Mzuzu,Bottom,0,0,0,0,0,0,0,0,0,0,1,5,1,noslab,yes,public,paper,3
2,AD4X_1,4,Mzuzu,Top,0,0,0,1,0,1,1,0,0,1,0,5,0,slab,yes,compound,paper,12
